ID,LEXEME - curly ’unuhw,LEXEME - straight 'unuhw,ROOT,PARSE,DEFINITION,NOTE
27,stsi’tsutsa’,stsi'tsutsa',√tsa’,s=√tsa’=DIM=STA,pulled apart (small portion partially pulled apart) DIM,Also pronounced stsi'tsutsa'.
28,stsuli’tsutsa’,stsuli'tsutsa',√tsa’,s=√tsa’=STA=DIM=PL,pulled apart DIM PL (small portions partially pulled apart),
29,tsa’t,tsa't,√tsa’,√tsa’=t,"pull off a layer or covering; split wood out of a living tree,pull off cedar bark",See also kwa't [√kwa'].
30,tsi’tsutsa’t,tsi'tsutsa't,√tsa’,√tsa’=t=DIM=PROG,pulling off a layer or covering DIM,
31,tsa’els,tsa'els,√tsa’,√tsa’=els,pull off a layer; cut slabs from wood (if it does not split),
32,tsutsal’s,tsutsal's,√tsa’,√tsa’=els=PROG,pulling off a layer; cutting slabs from wood,
33,tsi’tsutsul’s,tsi'tsutsul's,√tsa’,√tsa’=els=DIM=PROG,pulling off a layer; cutting slabs from wood DIM,
34,stsa’kwum,stsa'kwum,√tsa’kw,s=√tsa’kw=m,smelt,
35,stsa’tx,stsa'tx,√tsa’tx,s=√tsa’tx,halibut,
36,tsetsul’ulhtun,tsetsul'ulhtun,√tseelhtun,√tseelhtun=PROG,fishing (verb),
37,stseelhtun,stseelhtun,√tseelhtun,s=√tseelhtun,fish (salmon),
38,stseelhtun,stseelhtun,√tseelhtun,s=√tseelhtun,salmon,
39,tsetsul’ulhtun’,tsetsul'ulhtun',√tseelhtun,√tseelhtun=PROG,fishing,
40,tseep,tseep,√tseep,√tseep,"you PL,a subject particle"," A subject particle,which follows the first word of the sentence or phrase."
41,stsekwul’,stsekwul',√tsekwul’,s=√tsekwul’,how,Probably a stative form of √tsel.
42,stsekwul’,stsekwul',√tsekwul’,s=√tsekwul’,"how,kinds/manner",
43,stsekwul’stuhw,stsekwul'stuhw,√tsekwul’,s=√tsekwul’=stuhw,how much: get how much,
44,tsukwul’im’,tsukwul'im',√tsekwul’,√tsekwul’=m=STA,in what way,
45,tselt,tselt,√tsel,√tsel=t,follow it,
46,tseltham’sh,tseltham'sh,√tsel,√tsel=t=sam’sh,follow me (xx) m'i tseltham'sh,
47,tsukwul’etum’,tsukwul'etum',√tsel,√tsel=t=m=DUR,following PASS,
48,hwtsel,hwtsel,√tsel,hw=√tsel,where: go where,
49,hwtsustuhw,hwtsustuhw,√tsel,hw=√tsel=stuhw,put where,
50,hwtsuthut,hwtsuthut,√tsel,hw=√tsel=that,"go where,go which way",
51,hwtsi’tsakwul’thut,hwtsi'tsakwul'thut,√tsel,hw=√tsel=that=PROG,"going where,going which way",
52,tselqum,tselqum,√tsel,√tsel=qen=m,follow,
53,tsukwul’ul’qum’,tsukwul'ul'qum',√tsel,√tsel=qen=m=PROG,following,
54,yu tsukwul’ul’qum’,yu tsukwul'ul'qum',√tsel,yu √tsel=qen=m=PROG,following (along),
55,tselush,tselush,√tselush,√tselush,hand,
56,tsultselush,tsultselush,√tselush,√tselush=PL,hands,
57,tsetslush,tsetslush,√tselush,√tselush=DIM,hand: little hand,
58,tsul’etslush,tsul'etslush,√tselush,√tselush=DIM=PL,hands DIM,
59,tse’lumun,tse'lumun,√tse’lu,√tse’lu=min,"pole,sapling (wood)",
60,tse’lumunew’t-hw,tse'lumunew't-hw,√tse’lu,√tse’lu=min=ew’t-hw,log house,
61,shtsepth,shtsepth,√tsepth,shhw=√tsepth,"uncle,aunt through marriage",
62,shtse’tspth,shtse'tspth,√tsepth,shhw=√tsepth=DIM,"uncle,aunt through marriage DIM",
63,shtse’lupth,shtse'lupth,√tsepth,shhw=√tsepth=PL,"uncles,aunts through marriage",
64,tsustuhw,tsustuhw,√tses,√tses=stuhw,do what with," Probably √tsel-stuhw.  See,for example,hwtsustuhw,put where √tsel."
65,tsekwustuhw,tsekwustuhw,√tses,√tses=stuhw=PROG,doing what with it (for ex what is he doing with it?),
66,tsi’tsekwustuhw,tsi'tsekwustuhw,√tses,√tses=stuhw=PROG=DIM,doing what with it DIM,
67,tsustam’sh,tsustam'sh,√tses,√tses=stuhw=am’sh,do what to me,
68,tsustewut,tsustewut,√tses,√tses=stuhw=ewut,do what to PASS,
69,tstamut,tstamut,√tses,√tses=stamut,"what happened,what is the matter",The basic form of the root is not clear.  See also √tsel.
70,tsukwsta’mut,tsukwsta'mut,√tses,√tses=stamut=PROG,doing what,
71,tsetsuw’,tsetsuw',√tsew’,√tsew’=RDP,beach: down by a beach or river bank,
72,tsuw’tsuw’,tsuw'tsuw',√tsew’,√tsew’=RDP,"middle,out-in-the-middle",
73,tsetsuw’,tsetsuw',√tsew’,√tsew’=PROG,coming down,
74,hwu tsuw’tsuw’,hwu tsuw'tsuw',√tsew’,hwu √tsew’=RDP,far out (come to be far out),
75,tstseetsuw’,tstseetsuw',√tsew’,ts=√tsew’=RDP,"go to field or bay,waiting for game",
76,hun’tsew,hun'tsew,√tsew’,hun’=√tsew’,"arrive from an upper level,arrive at the beach",
77,hun’tseluw,hun'tseluw,√tsew’,hun’=√tsew’=PL,"arrive from an upper level (plural),arrive at the beach (plural)",
78,tsehw,tsehw,√tsehw,√tsehw,spouse," See also sta'lus,spouse [√ta'lus]. These are equivalent."
79,tstsehwum,tstsehwum,√tsehwum,ts=√tsehwum,propose marriage,See also [√tsehw].
80,tstsetsuhwum’,tstsetsuhwum',√tsehwum,ts=√tsehwum=PROG,proposing marriage,See also [√tsehw].
81,tshwemut,tshwemut,√tsehwum,√tsehwum=t,propose (go and propose),
82,stse’yul’lh,stse'yul'lh,√tse’yul’lh,s=√tse’yul’lh,"sequestered,brought up without exposure (young ladies)"," Possibly related to √tsilh,high cf,tsi'elh."
83,tse’,tse',√tse’,√tse’,will," The future marker is a particle following the first word of the sentence or phrase.  It also follows subject markers,as in some of the examples below."
84,shtse’lhnulh,shtse'lhnulh,√tse’lhnulh,shhw=√tse’lhnulh,barb on halibut hook or on spear point,
85,tsulel,tsulel,√tsulel,√tsulel,"almost,nearly (before,in time expressions)",
86,stsulum,stsulum,√tsulum,s=√tsulum,liver (deer)," See also t'eqe',liver human.  [√t'eqe'].  Also transcribed as stsulum'."
87,stsetslum’,stsetslum',√tsulum,s=√tsulum=DIM,liver DIM,Also stsitslum'.
88,tsuluw’,tsuluw',√tsuluw’,√tsuluw’,turn over,
89,hwu stsul’ew’,hwu stsul'ew',√tsuluw’,hwu s=√tsuluw’=STA,turned over (it is turned over),
90,tsuluw’t,tsuluw't,√tsuluw’,√tsuluw’=t,turn it over,
91,tsuluw’nuhw,tsuluw'nuhw,√tsuluw’,√tsuluw’=nehw,turn it over (manage to),
92,tsutsuluw’t,tsutsuluw't,√tsuluw’,√tsuluw’=t=PROG,turning it over,
93,tsultsuluw’t,tsultsuluw't,√tsuluw’,√tsuluw’=t=PL,turn them over,
94,tsel’tsuluw’t,tsel'tsuluw't,√tsuluw’,√tsuluw’=t=DUR=PL,turning it over (keep going back and forth),
95,tsi’tsutsuluw’t,tsi'tsutsuluw't,√tsuluw’,√tsuluw’=t=DIM=PROG,turning it over DIM,
96,tsuluw’unup,tsuluw'unup,√tsuluw’,√tsuluw’=unup,turn soil,
97,tsulqama’,tsulqama',√tsulqama’,√tsulqama’,raspberry,
98,tsul’equlh,tsul'equlh,√tsul’equlh,√tsul’equlh,yesterday,
99,stsi’tsum’eem’,stsi'tsum'eem',√tsum,s=√tsum=m=DUR=DIM,pack: small bundle on one's back,
100,tsum’ut,tsum'ut,√tsum,√tsum’=t,pack it on one's back,
101,tsutsum’ut,tsutsum'ut,√tsum,√tsum’=t=PROG,pack: putting it on back,
102,tsume’t,tsume't,√tsum,√tsum’=t=STA,pack: carrying it on one's back,
103,tsum’et,tsum'et,√tsum,√tsum’=t=STA,pack on back,
104,tsum’e’t,tsum'e't,√tsum,√tsum’=t=STA,"pack along,have it on one's back",
105,tsutsum’ut,tsutsum'ut,√tsum,√tsum’=t=PROG,pack: putting it on one's back,
106,tsum’um,tsum'um,√tsum,√tsum’=m,pack: get on someone's back,
107,tsum’els,tsum'els,√tsum,√tsum’=els,pack on back,
108,tsutsumum’,tsutsumum',√tsum,√tsum’=m=PROG,pack: getting on someone's back,
109,tsutsumul’s,tsutsumul's,√tsum,√tsum’=els=PROG,packing on back,
110,tsum’utun,tsum'utun,√tsum,√tsum’=ten,packing strap or harness (tumpline),
111,tsun,tsun,√tsun,√tsun,"I,a subject particle"," A subject particle,which follows the first word of the sentence or phrase."
112,tsun’ut,tsun'ut,√tsun,√tsun’=t,"lean it against something (for ex a pole,against a wall)",
113,tsun’ewust,tsun'ewust,√tsun,√tsun’=ewus=t,prop someone up (for ex in a hospital bed),
114,tsun’ewusum,tsun'ewusum,√tsun,√tsun’=ewus=m,lean or sit back and relax,
115,stsun’ewusum,stsun'ewusum,√tsun,s=√tsun’=ewus=m,reclined in an inclined (angled) position,
116,stsus,stsus,√tsus,s=√tsus,wind: southeast (possibly northeast) strong and dangerous wind,
117,stsatxw,stsatxw,√tsutxw,s=√tsutxw=STA,bewildered: to be stunned or bewildered,
118,tsatuxwul,tsatuxwul,√tsutxw,√tsutxw=il,bewildered: to become stunned or bewildered,
119,shtsutxwalus,shtsutxwalus,√tsutxw,s=hw=√tsutxw=alus,"big-eyed,as in surprise",
120,tsuwtelh,tsuwtelh,√tsuwtelh,√tsuwtelh,"son-in-law,daughter-in-law (address form)",See stsuwtelh.
121,tsuwtelh,tsuwtelh,√tsuwtelh,√tsuwtelh,"brother-in-law,address form (man's brother-in-law through his sister)",See stsuwtelh.
122,stsuwtelh,stsuwtelh,√tsuwtelh,s=√tsuwtelh,"son-in-law,daughter-in-law",
123,stsuwtelh,stsuwtelh,√tsuwtelh,s=√tsuwtelh,brother-in-law (man's brother-in-law through his sister),
124,stsi’wutelh,stsi'wutelh,√tsuwtelh,s=√tsuwtelh=PL,"brothers-in-law,children-in-law",
125,stsuw’et,stsuw'et,√tsuw’et,s=√tsuw’et,know how,
126,tsuw’nulhp,tsuw'nulhp,√tsuw’n,√tsuw’n=ulhp,cottonwood,
127,stsuhwum,stsuhwum,√tsuhwum,s=√tsuhwum,wind (noun),Possibly related to tshwat or tsahwut “give artificial respiration”.  See also spuhels √pah.
128,tsiitmuhw,tsiitmuhw,√tsiit,√tsiit=muhw,"owl: great-horned owl,great-horned owl ",
129,tsutsiitmuhw,tsutsiitmuhw,√tsiit,√tsiit=muhw=PL,owls: horned owls,
130,tsitsulh,tsitsulh,√tsilh,√tsilh=RDP,above,
131,tsitsulh,tsitsulh,√tsilh,√tsilh=RDP,high; noble,
132,tsutsi’tsulh,tsutsi'tsulh,√tsilh,√tsilh=DIM=PROG,high DIM (a little bit high),
133,hwu tsitsulh,hwu tsitsulh,√tsilh,hwu √tsilh=RDP,high: become higher; come to be raised higher,
134,stsi’elh,stsi'elh,√tsilh,s=√tsilh=STA,respected one,
135,yu lhtsitsulh,yu lhtsitsulh,√tsilh,yu lh=√tsilh=PROG,"high,above: moving along the top,moving above",
136,tsilhus,tsilhus,√tsilh,√tsilh=as,"steep bank or place,mound",
137,stslhaythun,stslhaythun,√tsilh,s=√tsilh=ay=thin,lip: upper lip,
138,stsi’tslha’ithun’,stsi'tslha'ithun',√tsilh,s=√tsilh=ay=thin=DIM,lip: upper lip DIM,Also stsi'tslha'ithun'.
139,stslhutsun’,stslhutsun',√tsilh,s=√tsilh=utsun=STA,"on top of (the top one of many,as in a stack)",
140,stsi’tslhutsun’,stsi'tslhutsun',√tsilh,s=√tsilh=utsun=STA=DIM,on top of (the top one of many DIM),
141,hwu stslhutsun’,hwu stslhutsun',√tsilh,hwu s=√tsilh=utsun=STA,"dropped on,fell on",
142,stslhe’ultuhw,stslhe'ultuhw,√tsilh,s=√tsilh=ultuhw,upper floor (i,
143,stslhiqun’,stslhiqun',√tsilh,s=√tsilh=i=qen=STA,"up on a higher hill,top of mountain",
144,shtslhequn’,shtslhequn',√tsilh,s=hw=√tsilh=qen,"palate,roof of the mouth",
145,stslhal’we’lh,stslhal'we'lh,√tsilh,s=√tsilh=al’=we’lh,on top of covers,
146,stsi’yu,stsi'yu,√tsiy’u,s=√tsiy’u,strawberry," Some use the word t'i'luqw,particularly for the wild strawberries."
147,tsi’tsut,tsi'tsut,√tsi’tsut,√tsi’tsut,parent (when speaking of someone else's parent),
148,tsuli’tsut,tsuli'tsut,√tsi’tsut,√tsi’tsut=PL,parents,
149,tslhaqw,tslhaqw,√tslhaqw,√tslhaqw,through (opening),
150,stslhaqw,stslhaqw,√tslhaqw,s=√tslhaqw=STA,"through (opening): went through,gone through",
151,tslhaqwt,tslhaqwt,√tslhaqw,√tslhaqw=t,"through (opening): put it through (and,put an idea through),for ex a deceased person is passed through a window",
152,tsulhuqwt,tsulhuqwt,√tslhaqw,√tslhaqw=t=PROG,through (opening): putting it through,
153,tsi’tsulhuqwt,tsi'tsulhuqwt,√tslhaqw,√tslhaqw=t=DIM=PROG,through (opening): putting it through DIM,
154,tslhaqwthut,tslhaqwthut,√tslhaqw,√tslhaqw=that,through (opening): get through; go down a narrow trail,
155,tsulhuqwthut,tsulhuqwthut,√tslhaqw,√tslhaqw=that=PROG,through (opening): going through (getting self through),
156,tstl’um,tstl'um,√tstl’um,√tstl’u=m,jump,
157,tsetl’um’,tsetl'um',√tstl’um,√tstl’um=PROG,jumping,
158,tse’tstl’im’,tse'tstl'im',√tstl’um,√tstl’um=DUR,"jumping,hopping (what a deer or rabbit does)",
159,tsutl’tsutl’im’,tsutl'tsutl'im',√tstl’um,√tstl’um=DUR=PL,jumping PL,
160,tsi’tsetl’um’,tsi'tsetl'um',√tstl’um,√tstl’um=DIM=PROG,jumping DIM,
161,tsuli’tsetl’um’,tsuli'tsetl'um',√tstl’um,√tstl’um=DIM=PL=PROG,jumping DIM PL,
162,tsutl’tsetl’um,tsutl'tsetl'um,√tstl’um,√tstl’um=PL,jump PL,
163,tsi’tsetl’um’,tsi'tsetl'um',√tstl’um,√tstl’um=DIM=PROG,jumping DIM,
164,tsuli’tsetl’um’,tsuli'tsetl'um',√tstl’um,√tstl’um=DIM=PL=PROG,jumping DIM PL,
165,tse’tstl’im’,tse'tstl'im',√tstl’um,√tstl’um=DUR,hopscotch,
166,shtsi’tsetl’um’,shtsi'tsetl'um',√tstl’um,shhw=√tstl’um=DIM,"skipping rope,an object to jump over",
167,tstl’umut,tstl'umut,√tstl’um,√tstl’um=t,jump for it,
168,tsetstl’im’stuhw,tsetstl'im'stuhw,√tstl’um,√tstl’um=stuhw=DUR,jump: making it jump,
169,tsutl’im’shun,tsutl'im'shun,√tstl’um,√tstl’um=shen=ASP,"jump around,constantly moving the feet",
170,tstl’ume’tst,tstl'ume'tst,√tstl’um,√tstl’um=me’ts=t,jump over it,See also tstl'umut.
171,tse’tstl’im’shun’,tse'tstl'im'shun',√tstl’um,√tstl’um=shen=DUR,"jumping around,hopping around",
172,tsul’e’tsutl’im’shun’,tsul'e'tsutl'im'shun',√tstl’um,√tstl’um=shen=DIM=PL=DUR,hopping: small hopping steps,
173,tsset,tsset,√tsse,√tsse=t,tell (to do),
174,tsusut,tsusut,√tsse,√tsse=t,telling someone (to do something),
175,tsi’tsset,tsi'tsset,√tsse,√tsse=t=DUR,telling: keep on telling to do something,
176,tsi’tsusut,tsi'tsusut,√tsse,√tsse=t=DIM=PROG,telling someone (to do something) DIM,
177,tsi’tsset,tsi'tsset,√tsse,√tsse=t=DUR,"telling (to do something,keep on)",
178,tssetal’hw,tssetal'hw,√tsse,√tsse=t=al’hw,tell us (to do something),
179,tssetewut,tssetewut,√tsse,√tsse=t=ewut,tell (to do something) PASS,
180,tssetum,tssetum,√tsse,√tsse=t=m,tell (to do something) PASS,
181,tst,tst,√tst,√tst,we," A subject particle,which follows the first word of the sentence or phrase."
182,tshwat,tshwat,√tshwa,√tshwa=t,"blow on with cupped hand,give artificial respiration to",
183,tsahwtum’,tsahwtum',√tshwa,√tshwa=t=m,"blowing on with cupped hand,being given artificial respiration",
184,tshwutum,tshwutum,√tshwutum,√tshwutum,"swollen,bloated",
185,ts’aa’luts,ts'aa'luts,√ts’aa’luts,√ts’aa’luts,go over the mountain,
186,hwts’alum,hwts'alum,√ts’al,hw=√ts’al=m,tide turns,
187,yu ts’ul’as,yu ts'ul'as,√ts’al,yu √ts’al=as,turning around (looking back) while walking,
188,ts’ukw’ul’asstum’,ts'ukw'ul'asstum',√ts’al,√ts’al=as=stuhw=m=PROG,"face someone in the opposite direction (from others),put a cap on backward",
189,ts’alusum,ts'alusum,√ts’al,√ts’al=as=m,"look back,turn around,turn head",
190,ts’akw’ul’usum’,ts'akw'ul'usum',√ts’al,√ts’al=as=m=PROG,looking back,
191,ts’aluws,ts'aluws,√ts’al,√ts’al=iws,"change sides (paddling,chopping wood)",
192,ts’ultsus,ts'ultsus,√ts’al,√ts’al=tses,"change hands (paddling,chopping wood)",
193,ts’akw’ul’tsus,ts'akw'ul'tsus,√ts’al,√ts’al=tses=PROG,"changing hands (paddling,chopping wood)",
194,sts’alha’,sts'alha',√ts’alha’,s=√ts’alha’,leaf,
195,hwts’alha’um,hwts'alha'um,√ts’alha’,hw=√ts’alha’=m,River Bottom (place name),
196,ts’alhulhp,ts'alhulhp,√ts’alha’,√ts’alha’=ulhp,maple tree,
197,shts’alhulhp,shts'alhulhp,√ts’alha’,shhw=√ts’alha’=ulhp,Saanich: West Saanich,
198,sts’a’muqw,sts'a'muqw,√ts’a’muqw,s=√ts’a’muqw,great-grandparent; great-grandchild,
199,sts’a’lum’uqw,sts'a'lum'uqw,√ts’a’muqw,s=√ts’a’muqw=PL,"great-grandparents,great-grandchildren",
200,shts’a’muqw,shts'a'muqw,√ts’a’muqw,s=hw=√ts’a’muqw,great grandparent-in-law,
201,sts’ats’muqw,sts'ats'muqw,√ts’a’muqw,s=√ts’a’muqw=DIM,great-grandparent DIM,
202,shts’a’lum’uqw,shts'a'lum'uqw,√ts’a’muqw,s=hw=√ts’a’muqw=PL,great grandparents-in-law,
203,ts’eemtuxun,ts'eemtuxun,√ts’eemt,√ts’eemt=exun,bare rocky mountain (for ex Beacon Hill in Victoria)," The word may relate to the treeline,a bare area beside a treeline. This is not clear."
204,ts’eey’em’,ts'eey'em',√ts’eey’,√ts’eey’=m,marry dead brother's wife/dead husband's brother,
205,ts’eey’u,ts'eey'u,√ts’eey’u,√ts’eey’u,wife or husband of deceased sibling (brother or sister),
206,ts’uy’ts’eey’u,ts'uy'ts'eey'u,√ts’eey’u,√ts’eey’u=PL,wives or husbands of deceased siblings,
207,ts’ultsus,ts'ultsus,√ts’el,√ts’el=tses,switch to the other hand (for ex in the bonegame),
208,ts’ulqun,ts'ulqun,√ts’el,√ts’el=qen,turn back and go into the other room; go to another part of the longhouse,
209,ts’elhum’,ts'elhum',√ts’elhum’,√ts’elhum’,hear,Possibly √ts'elh-m but see ts'elhum'ut.
210,ts’i’ts’elhum’,ts'i'ts'elhum',√ts’elhum’,√ts’elhum’=DUR,hearing,
211,ts’elhum’ut,ts'elhum'ut,√ts’elhum’,√ts’elhum’=t,hear,
212,ts’elhum’uthamu,ts'elhum'uthamu,√ts’elhum’,√ts’elhum’=t=samu,hear you,
213,sts’esht,sts'esht,√ts’esht,s=√ts’esht,stick,
214,sts’ushtutsus,sts'ushtutsus,√ts’esht,s=√ts’esht=tses,branch,
215,ts’ewut,ts'ewut,√ts’ew,√ts’ew=t,help him/her/it,
216,ts’ets’uw’ut,ts'ets'uw'ut,√ts’ew,√ts’ew=t=PROG,helping him,
217,hwu ts’ets’uw’utum’,hwu ts'ets'uw'utum',√ts’ew,hwu √ts’ew=t=m=PROG,helped PASS (come to be helped),
218,ts’uwnamut,ts'uwnamut,√ts’ew,√ts’ew=nehw=amut,help you PASS,
219,ts’uwtun,ts'uwtun,√ts’ew,√ts’ew=ten,helper,
220,ts’ewulhtun,ts'ewulhtun,√ts’ew,√ts’ew=lh=ten,help with,
221,sts’ewulhtun,sts'ewulhtun,√ts’ew,s=√ts’ew=lh=ten,help (for ex money donated),
222,ts’e’wi’,ts'e'wi',√ts’e’wi’,√ts’e’wi’,dish; bowl,
223,ts’e’luwi’,ts'e'luwi',√ts’e’wi’,√ts’e’wi’=PL,dishes,
224,ts’ets’wi’,ts'ets'wi',√ts’e’wi’,√ts’e’wi’=DIM,dish DIM,
225,ts’ul’ets’wi’,ts'ul'ets'wi',√ts’e’wi’,√ts’e’wi’=DIM=PL,dishes DIM,
226,ts’uli’ts’uts’e’wi’,ts'uli'ts'uts'e'wi',√ts’e’wi’,√ts’e’wi’=DIM=DIM=PL,"dishes: little dishes,(individual containers,clam shells)",
227,ts’e’wi’tun,ts'e'wi'tun,√ts’e’wi’,√ts’e’wi’=ten,"dish (large dish),placename at Quamichan",
228,ts’ets’wi’tun’,ts'ets'wi'tun',√ts’e’wi’,√ts’e’wi’=ten=DIM,"dish (little dish),placename at Quamichan",
229,ts’e’wi’uxun’,ts'e'wi'uxun',√ts’e’wi’,√ts’e’wi’=uxun,"scoter: American scoter,black scoter,surf scoter",
230,ts’e’wi’ten,ts'e'wi'ten,√ts’e’wi’,√ts’e’wi’=tun,"platter,big dish; place name at Quamichan",
231,sts’ets’uhw,sts'ets'uhw,√ts’ehw,s=√ts’ehw=STA,quiet (keep quiet),
232,ts’ehwul’,ts'ehwul',√ts’ehw,√ts’ehw=il,"quiet,be quiet,getting quiet",
233,ts’hwul’aythun,ts'hwul'aythun,√ts’ehw,√ts’ehw=il=ay=thin,shut up,
234,ts’e’,ts'e',√ts’e’,√ts’e’,on (come to be on top of),The root in isolation is rare.
235,ts’e’ts’e’,ts'e'ts'e',√ts’e’,√ts’e’=RDP,heavy,
236,sts’uts’e’,sts'uts'e',√ts’e’,s=√ts’e’=STA,on (be on something),
237,sts’i’ts’uts’e’,sts'i'ts'uts'e',√ts’e’,s=√ts’e’=DIM=STA,on top of DIM,
238,sts’uli’ts’uts’e’,sts'uli'ts'uts'e',√ts’e’,s=√ts’e’=DIM=PL=STA,on top of DIM PL,Also pronounced sts'uli'ts'uts'e'.
239,hwu sts’uts’e’,hwu sts'uts'e',√ts’e’,hwu s=√ts’e’=STA,on top of (come to be),
240,ts’e’t,ts'e't,√ts’e’,√ts’e’=t,on: put it on top of,
241,ts’uts’e’t,ts'uts'e't,√ts’e’,√ts’e’=t=PROG,on: putting it on something,
242,ts’i’ts’uts’e’t,ts'i'ts'uts'e't,√ts’e’,√ts’e’=t=DIM=PROG,on: putting it on top DIM,
243,yu sts’uts’e’stuhw,yu sts'uts'e'stuhw,√ts’e’,yu s=√ts’e’=stuhw=STA,on: holding it on top,
244,ts’e’tum,ts'e'tum,√ts’e’,√ts’e’=t=m,on: put on PASS,
245,ts’e’els,ts'e'els,√ts’e’,√ts’e’=els,on: put on (shelf),
246,shts’unets,shts'unets,√ts’e’,s=hw=√ts’e’=nets,seated,
247,shts’uli’ts’unets,shts'uli'ts'unets,√ts’e’,s=hw=√ts’e’=nets=DIM=PL=STA,seated (a lot of little people seated) DIM PL,
248,hwts’e’nutst,hwts'e'nutst,√ts’e’,hw=√ts’e’=nets=t,seat someone,
249,shts’unetsstuhw,shts'unetsstuhw,√ts’e’,s=hw=√ts’e’=nets=stuhw=STA,seat: leave someone seated,
250,shts’unetsstum’,shts'unetsstum',√ts’e’,s=hw=√ts’e’=nets=stuhw=m=STA,seat: leave someone seated PASS,See also shts'unash atsstum'.
251,shts’unatsstum’,shts'unatsstum',√ts’e’,s=hw=√ts’e’=nets=stuhw=m=STA,seat: leave someone seated PASS,See also shts'unetsstum'.
252,hwts’e’nutsum,hwts'e'nutsum,√ts’e’,hw=√ts’e’=nets=m,sit on something,
253,shts’e’nutstun,shts'e'nutstun,√ts’e’,shhw=hw=√ts’e’=nets=ten,chair,
254,shts’its’nutstun’,shts'its'nutstun',√ts’e’,shhw=hw=√ts’e’=nets=ten=DIM,chair DIM,
255,shts’ul’i’ts’nutstun’,shts'ul'i'ts'nutstun',√ts’e’,shhw=hw=√ts’e’=nets=ten=DIM=PL,chairs DIM (little chairs),
256,sts’ushin’,sts'ushin',√ts’e’,s=√ts’e’=shen=STA,"standing on,have a foot on",
257,sts’uts’e’shun’,sts'uts'e'shun',√ts’e’,s=√ts’e’=shen=STA,"standing on,have a foot on",
258,hwu sts’ushin’,hwu sts'ushin',√ts’e’,hwu s=√ts’e’=shen=STA,standing on top (come to be),
259,sts’e’shun,sts'e'shun,√ts’e’,s=√ts’e’=shen,rapids,
260,ts’ushunum,ts'ushunum,√ts’e’,√ts’e’=shen=m,step up onto,
261,ts’e’shunum’,ts'e'shunum',√ts’e’,√ts’e’=shen=m=PROG,stepping up onto,
262,ts’u,ts'u,√ts’u,√ts’u,confirmative particle,PRT2. Indicates that the information was reported to the speaker. Sometimes translated as ‘it is said’. A particle following the first word of the sentence or phrase and following subject particles.
263,ts’uw’,ts'uw',√ts’u,√ts’u=’uw’,evidential,PRT. A contraction of ts'u + 'uw'.
264,shts’ulehwum,shts'ulehwum,√ts’uluhw,shhw=√ts’uluhw=m,dancer (ceremonial dancer),
