ID,orthography,apaunicode,straight,root,parse,definition,note
23,shtsa’nus,šcan̓əs,ßca∫;s,√tsa’nus,shhw=√tsa’nus,Deception Pass," Possibly from √tsa' “break away”, referring to the mountain."
24,shcha’nus,ščan̓əs,ß∆a∫;s,√tsa’nus,shhw=√tsa’nus,Deception Pass,See also shtsa'nus.
25,tsahwut,caxʷət,caxø;t,√tsahw,√tsahw=t,"artificial respiration, or blow into someone, hands cupped",See also tshwat [√tshwa].
26,stsutsa’,scəcaʔ,sc;ca÷,√tsa’,s=√tsa’=STA,pulled apart (in layers),
27,stsi’tsutsa’,sciʔcəcaʔ,sci÷c;ca÷,√tsa’,s=√tsa’=DIM=STA,pulled apart (small portion partially pulled apart) DIM,Also pronounced stsi'tsutsa'.
28,stsuli’tsutsa’,scəliʔcəcaʔ,sc;li÷c;ca÷,√tsa’,s=√tsa’=STA=DIM=PL,pulled apart DIM PL (small portions partially pulled apart),
29,tsa’t,caʔt,ca÷t,√tsa’,√tsa’=t,"pull off a layer or covering; split wood out of a living tree, pull off cedar bark",See also kwa't [√kwa'].
30,tsi’tsutsa’t,ciʔcəcaʔt,ci÷c;ca÷t,√tsa’,√tsa’=t=DIM=PROG,pulling off a layer or covering DIM,
31,tsa’els,caʔels,ca÷els,√tsa’,√tsa’=els,pull off a layer; cut slabs from wood (if it does not split),
32,tsutsal’s,cəcal̓s,c;ca¬s,√tsa’,√tsa’=els=PROG,pulling off a layer; cutting slabs from wood,
33,tsi’tsutsul’s,ciʔcəcəl̓s,ci÷c;c;¬s,√tsa’,√tsa’=els=DIM=PROG,pulling off a layer; cutting slabs from wood DIM,
34,stsa’kwum,scaʔkʷəm,sca÷kø;m,√tsa’kw,s=√tsa’kw=m,smelt,
35,stsa’tx,scaʔtx̌,sca÷t≈,√tsa’tx,s=√tsa’tx,halibut,
36,tsetsul’ulhtun,cecəl̓əɫtən,cec;¬;®t;n,√tseelhtun,√tseelhtun=PROG,fishing (verb),
37,stseelhtun,sce:ɫtən,sce:®t;n,√tseelhtun,s=√tseelhtun,fish (salmon),
38,stseelhtun,sce:ɫtən,sce:®t;n,√tseelhtun,s=√tseelhtun,salmon,
39,tsetsul’ulhtun’,cecəl̓əɫtən̓,cec;¬;®t;∫,√tseelhtun,√tseelhtun=PROG,fishing,
40,tseep,ce:p,ce:p,√tseep,√tseep,"you PL, a subject particle"," A subject particle, which follows the first word of the sentence or phrase."
41,stsekwul’,scekʷəl̓,scekø;¬,√tsekwul’,s=√tsekwul’,how,Probably a stative form of √tsel.
42,stsekwul’,scekʷəl̓,scekø;¬,√tsekwul’,s=√tsekwul’,"how, kinds/manner",
43,stsekwul’stuhw,scekʷəl̓stəxʷ,scekø;¬st;xø,√tsekwul’,s=√tsekwul’=stuhw,how much: get how much,
44,tsukwul’im’,cəkʷəl̓im̓,c;kø;¬iµ,√tsekwul’,√tsekwul’=m=STA,in what way,
45,tselt,celt,celt,√tsel,√tsel=t,follow it,
46,tseltham’sh,celθam̓š,celƒaµß,√tsel,√tsel=t=sam’sh,follow me (xx) m'i tseltham'sh,
47,tsukwul’etum’,cəkʷəl̓etəm̓,c;kø;¬et;µ,√tsel,√tsel=t=m=DUR,following PASS,
48,hwtsel,xʷcel,xøcel,√tsel,hw=√tsel,where: go where,
49,hwtsustuhw,xʷcəstəxʷ,xøc;st;xø,√tsel,hw=√tsel=stuhw,put where,
50,hwtsuthut,xʷcəθət,xøc;ƒ;t,√tsel,hw=√tsel=that,"go where, go which way",
51,hwtsi’tsakwul’thut,xʷciʔcakʷəl̓θət,xøci÷cakø;¬ƒ;t,√tsel,hw=√tsel=that=PROG,"going where, going which way",
52,tselqum,celqəm,celq;m,√tsel,√tsel=qen=m,follow,
53,tsukwul’ul’qum’,cəkʷəl̓əl̓qəm̓,c;kø;¬;¬q;µ,√tsel,√tsel=qen=m=PROG,following,
54,yu tsukwul’ul’qum’,yə cəkʷəl̓əl̓qəm̓,y; c;kø;¬;¬q;µ,√tsel,yu √tsel=qen=m=PROG,following (along),
55,tselush,celəš,cel;ß,√tselush,√tselush,hand,
56,tsultselush,cəlceləš,c;lcel;ß,√tselush,√tselush=PL,hands,
57,tsetslush,cecləš,cecl;ß,√tselush,√tselush=DIM,hand: little hand,
58,tsul’etslush,cəl̓ecləš,c;¬ecl;ß,√tselush,√tselush=DIM=PL,hands DIM,
59,tse’lumun,cel̓əmən,ce¬;m;n,√tse’lu,√tse’lu=min,"pole, sapling (wood)",
60,tse’lumunew’t-hw,cel̓əmənew̓t-xʷ,ce¬;m;neΣt-xø,√tse’lu,√tse’lu=min=ew’t-hw,log house,
61,shtsepth,šcepθ,ßcepƒ,√tsepth,shhw=√tsepth,"uncle, aunt through marriage",
62,shtse’tspth,šceʔcpθ,ßce÷cpƒ,√tsepth,shhw=√tsepth=DIM,"uncle, aunt through marriage DIM",
63,shtse’lupth,šcel̓əpθ,ßce¬;pƒ,√tsepth,shhw=√tsepth=PL,"uncles, aunts through marriage",
64,tsustuhw,cəstəxʷ,c;st;xø,√tses,√tses=stuhw,do what with," Probably √tsel-stuhw.  See, for example, hwtsustuhw, put where √tsel."
65,tsekwustuhw,cekʷəstəxʷ,cekø;st;xø,√tses,√tses=stuhw=PROG,doing what with it (for ex what is he doing with it?),
66,tsi’tsekwustuhw,ciʔcekʷəstəxʷ,ci÷cekø;st;xø,√tses,√tses=stuhw=PROG=DIM,doing what with it DIM,
67,tsustam’sh,cəstam̓š,c;staµß,√tses,√tses=stuhw=am’sh,do what to me,
68,tsustewut,cəstewət,c;stew;t,√tses,√tses=stuhw=ewut,do what to PASS,
69,tstamut,ctamət,ctam;t,√tses,√tses=stamut,"what happened, what is the matter",The basic form of the root is not clear.  See also √tsel.
70,tsukwsta’mut,cəkʷstam̓ət,c;køstaµ;t,√tses,√tses=stamut=PROG,doing what,
71,tsetsuw’,cecəw̓,cec;Σ,√tsew’,√tsew’=RDP,beach: down by a beach or river bank,
72,tsuw’tsuw’,cəw̓cəw̓,c;Σc;Σ,√tsew’,√tsew’=RDP,"middle, out-in-the-middle",
73,tsetsuw’,cecəw̓,cec;Σ,√tsew’,√tsew’=PROG,coming down,
74,hwu tsuw’tsuw’,xʷə cəw̓cəw̓,xø; c;Σc;Σ,√tsew’,hwu √tsew’=RDP,far out (come to be far out),
75,tstseetsuw’,cce:cəw̓,cce:c;Σ,√tsew’,ts=√tsew’=RDP,"go to field or bay, waiting for game",
76,hun’tsew,hən̓cew,h;∫cew,√tsew’,hun’=√tsew’,"arrive from an upper level, arrive at the beach",
77,hun’tseluw,hən̓celəw,h;∫cel;w,√tsew’,hun’=√tsew’=PL,"arrive from an upper level (plural), arrive at the beach (plural)",
78,tsehw,cexʷ,cexø,√tsehw,√tsehw,spouse," See also sta'lus, spouse [√ta'lus]. These are equivalent."
79,tstsehwum,ccexʷəm,ccexø;m,√tsehwum,ts=√tsehwum,propose marriage,See also [√tsehw].
80,tstsetsuhwum’,ccecəxʷəm̓,ccec;xø;µ,√tsehwum,ts=√tsehwum=PROG,proposing marriage,See also [√tsehw].
81,tshwemut,cxʷemət,cxøem;t,√tsehwum,√tsehwum=t,propose (go and propose),
82,stse’yul’lh,scey̓əll̓h,sce¥;l¬h,√tse’yul’lh,s=√tse’yul’lh,"sequestered, brought up without exposure (young ladies)"," Possibly related to √tsilh, high cf, tsi'elh."
83,tse’,ceʔ,ce÷,√tse’,√tse’,will," The future marker is a particle following the first word of the sentence or phrase.  It also follows subject markers, as in some of the examples below."
84,shtse’lhnulh,šcel̓hnəɫ,ßce¬hn;®,√tse’lhnulh,shhw=√tse’lhnulh,barb on halibut hook or on spear point,
85,tsulel,cəlel,c;lel,√tsulel,√tsulel,"almost, nearly (before, in time expressions)",
86,stsulum,scələm,sc;l;m,√tsulum,s=√tsulum,liver (deer)," See also t'eqe', liver human.  [√t'eqe'].  Also transcribed as stsulum'."
87,stsetslum’,scecləm̓,scecl;µ,√tsulum,s=√tsulum=DIM,liver DIM,Also stsitslum'.
88,tsuluw’,cələw̓,c;l;Σ,√tsuluw’,√tsuluw’,turn over,
89,hwu stsul’ew’,xʷə scəl̓ew̓,xø; sc;¬eΣ,√tsuluw’,hwu s=√tsuluw’=STA,turned over (it is turned over),
90,tsuluw’t,cələw̓t,c;l;Σt,√tsuluw’,√tsuluw’=t,turn it over,
91,tsuluw’nuhw,cələwn̓əxʷ,c;l;w∫;xø,√tsuluw’,√tsuluw’=nehw,turn it over (manage to),
92,tsutsuluw’t,cəcələw̓t,c;c;l;Σt,√tsuluw’,√tsuluw’=t=PROG,turning it over,
93,tsultsuluw’t,cəlcələw̓t,c;lc;l;Σt,√tsuluw’,√tsuluw’=t=PL,turn them over,
94,tsel’tsuluw’t,cel̓cələw̓t,ce¬c;l;Σt,√tsuluw’,√tsuluw’=t=DUR=PL,turning it over (keep going back and forth),
95,tsi’tsutsuluw’t,ciʔcəcələw̓t,ci÷c;c;l;Σt,√tsuluw’,√tsuluw’=t=DIM=PROG,turning it over DIM,
96,tsuluw’unup,cələw̓ənəp,c;l;Σ;n;p,√tsuluw’,√tsuluw’=unup,turn soil,
97,tsulqama’,cəlqamaʔ,c;lqama÷,√tsulqama’,√tsulqama’,raspberry,
98,tsul’equlh,cəl̓eqəɫ,c;¬eq;®,√tsul’equlh,√tsul’equlh,yesterday,
99,stsi’tsum’eem’,sciʔcəm̓e:m̓,sci÷c;µe:µ,√tsum,s=√tsum=m=DUR=DIM,pack: small bundle on one's back,
100,tsum’ut,cəm̓ət,c;µ;t,√tsum,√tsum’=t,pack it on one's back,
101,tsutsum’ut,cəcəm̓ət,c;c;µ;t,√tsum,√tsum’=t=PROG,pack: putting it on back,
102,tsume’t,cəmeʔt,c;me÷t,√tsum,√tsum’=t=STA,pack: carrying it on one's back,
103,tsum’et,cəm̓et,c;µet,√tsum,√tsum’=t=STA,pack on back,
104,tsum’e’t,cəm̓eʔt,c;µe÷t,√tsum,√tsum’=t=STA,"pack along, have it on one's back",
105,tsutsum’ut,cəcəm̓ət,c;c;µ;t,√tsum,√tsum’=t=PROG,pack: putting it on one's back,
106,tsum’um,cəm̓əm,c;µ;m,√tsum,√tsum’=m,pack: get on someone's back,
107,tsum’els,cəm̓els,c;µels,√tsum,√tsum’=els,pack on back,
108,tsutsumum’,cəcəməm̓,c;c;m;µ,√tsum,√tsum’=m=PROG,pack: getting on someone's back,
109,tsutsumul’s,cəcəməl̓s,c;c;m;¬s,√tsum,√tsum’=els=PROG,packing on back,
110,tsum’utun,cəm̓ətən,c;µ;t;n,√tsum,√tsum’=ten,packing strap or harness (tumpline),
111,tsun,cən,c;n,√tsun,√tsun,"I, a subject particle"," A subject particle, which follows the first word of the sentence or phrase."
112,tsun’ut,cən̓ət,c;∫;t,√tsun,√tsun’=t,"lean it against something (for ex a pole, against a wall)",
113,tsun’ewust,cən̓ewəst,c;∫ew;st,√tsun,√tsun’=ewus=t,prop someone up (for ex in a hospital bed),
114,tsun’ewusum,cən̓ewəsəm,c;∫ew;s;m,√tsun,√tsun’=ewus=m,lean or sit back and relax,
115,stsun’ewusum,scən̓ewəsəm,sc;∫ew;s;m,√tsun,s=√tsun’=ewus=m,reclined in an inclined (angled) position,
116,stsus,scəs,sc;s,√tsus,s=√tsus,wind: southeast (possibly northeast) strong and dangerous wind,
117,stsatxw,scatx̌ʷ,scat≈ø,√tsutxw,s=√tsutxw=STA,bewildered: to be stunned or bewildered,
118,tsatuxwul,catəx̌ʷəl,cat;≈ø;l,√tsutxw,√tsutxw=il,bewildered: to become stunned or bewildered,
119,shtsutxwalus,šcətx̌ʷaləs,ßc;t≈øal;s,√tsutxw,s=hw=√tsutxw=alus,"big-eyed, as in surprise",
120,tsuwtelh,cəwteɫ,c;wte®,√tsuwtelh,√tsuwtelh,"son-in-law, daughter-in-law (address form)",See stsuwtelh.
121,tsuwtelh,cəwteɫ,c;wte®,√tsuwtelh,√tsuwtelh,"brother-in-law, address form (man's brother-in-law through his sister)",See stsuwtelh.
122,stsuwtelh,scəwteɫ,sc;wte®,√tsuwtelh,s=√tsuwtelh,"son-in-law, daughter-in-law",
123,stsuwtelh,scəwteɫ,sc;wte®,√tsuwtelh,s=√tsuwtelh,brother-in-law (man's brother-in-law through his sister),
124,stsi’wutelh,sciw̓əteɫ,sciΣ;te®,√tsuwtelh,s=√tsuwtelh=PL,"brothers-in-law, children-in-law",
125,stsuw’et,scəw̓et,sc;Σet,√tsuw’et,s=√tsuw’et,know how,
126,tsuw’nulhp,cəwn̓əɫp,c;w∫;®p,√tsuw’n,√tsuw’n=ulhp,cottonwood,
127,stsuhwum,scəxʷəm,sc;xø;m,√tsuhwum,s=√tsuhwum,wind (noun),Possibly related to tshwat or tsahwut “give artificial respiration”.  See also spuhels √pah.
128,tsiitmuhw,ci:tməxʷ,ci:tm;xø,√tsiit,√tsiit=muhw,"owl: great-horned owl, great-horned owl ",
129,tsutsiitmuhw,cəci:tməxʷ,c;ci:tm;xø,√tsiit,√tsiit=muhw=PL,owls: horned owls,
130,tsitsulh,cicəɫ,cic;®,√tsilh,√tsilh=RDP,above,
131,tsitsulh,cicəɫ,cic;®,√tsilh,√tsilh=RDP,high; noble,
132,tsutsi’tsulh,cəciʔcəɫ,c;ci÷c;®,√tsilh,√tsilh=DIM=PROG,high DIM (a little bit high),
133,hwu tsitsulh,xʷə cicəɫ,xø; cic;®,√tsilh,hwu √tsilh=RDP,high: become higher; come to be raised higher,
134,stsi’elh,sciʔeɫ,sci÷e®,√tsilh,s=√tsilh=STA,respected one,
135,yu lhtsitsulh,yə ɫcicəɫ,y; ®cic;®,√tsilh,yu lh=√tsilh=PROG,"high, above: moving along the top, moving above",
136,tsilhus,ciɫəs,ci®;s,√tsilh,√tsilh=as,"steep bank or place, mound",
137,stslhaythun,scɫayθən,sc®ayƒ;n,√tsilh,s=√tsilh=ay=thin,lip: upper lip,
138,stsi’tslha’ithun’,sciʔcɫaʔiθən̓,sci÷c®a÷iƒ;∫,√tsilh,s=√tsilh=ay=thin=DIM,lip: upper lip DIM,Also stsi'tslha'ithun'.
139,stslhutsun’,scɫəcən̓,sc®;c;∫,√tsilh,s=√tsilh=utsun=STA,"on top of (the top one of many, as in a stack)",
140,stsi’tslhutsun’,sciʔcɫəcən̓,sci÷c®;c;∫,√tsilh,s=√tsilh=utsun=STA=DIM,on top of (the top one of many DIM),
141,hwu stslhutsun’,xʷə scɫəcən̓,xø; sc®;c;∫,√tsilh,hwu s=√tsilh=utsun=STA,"dropped on, fell on",
142,stslhe’ultuhw,scɫeʔəltəxʷ,sc®e÷;lt;xø,√tsilh,s=√tsilh=ultuhw,upper floor (i,
143,stslhiqun’,scɫiqən̓,sc®iq;∫,√tsilh,s=√tsilh=i=qen=STA,"up on a higher hill, top of mountain",
144,shtslhequn’,šcɫeqən̓,ßc®eq;∫,√tsilh,s=hw=√tsilh=qen,"palate, roof of the mouth",
145,stslhal’we’lh,scɫalw̓el̓h,sc®alΣe¬h,√tsilh,s=√tsilh=al’=we’lh,on top of covers,
146,stsi’yu,sciy̓ə,sci¥;,√tsiy’u,s=√tsiy’u,strawberry," Some use the word t'i'luqw, particularly for the wild strawberries."
147,tsi’tsut,ciʔcət,ci÷c;t,√tsi’tsut,√tsi’tsut,parent (when speaking of someone else's parent),
148,tsuli’tsut,cəliʔcət,c;li÷c;t,√tsi’tsut,√tsi’tsut=PL,parents,
149,tslhaqw,cɫaqʷ,c®aqø,√tslhaqw,√tslhaqw,through (opening),
150,stslhaqw,scɫaqʷ,sc®aqø,√tslhaqw,s=√tslhaqw=STA,"through (opening): went through, gone through",
151,tslhaqwt,cɫaqʷt,c®aqøt,√tslhaqw,√tslhaqw=t,"through (opening): put it through (and, put an idea through), for ex a deceased person is passed through a window",
152,tsulhuqwt,cəɫəqʷt,c;®;qøt,√tslhaqw,√tslhaqw=t=PROG,through (opening): putting it through,
153,tsi’tsulhuqwt,ciʔcəɫəqʷt,ci÷c;®;qøt,√tslhaqw,√tslhaqw=t=DIM=PROG,through (opening): putting it through DIM,
154,tslhaqwthut,cɫaqʷθət,c®aqøƒ;t,√tslhaqw,√tslhaqw=that,through (opening): get through; go down a narrow trail,
155,tsulhuqwthut,cəɫəqʷθət,c;®;qøƒ;t,√tslhaqw,√tslhaqw=that=PROG,through (opening): going through (getting self through),
156,tstl’um,cƛ̓əm,c√;m,√tstl’um,√tstl’u=m,jump,
157,tsetl’um’,ceƛ̓əm̓,ce√;µ,√tstl’um,√tstl’um=PROG,jumping,
158,tse’tstl’im’,ceʔcƛ̓im̓,ce÷c√iµ,√tstl’um,√tstl’um=DUR,"jumping, hopping (what a deer or rabbit does)",
159,tsutl’tsutl’im’,cəƛ̓cəƛ̓im̓,c;√c;√iµ,√tstl’um,√tstl’um=DUR=PL,jumping PL,
160,tsi’tsetl’um’,ciʔceƛ̓əm̓,ci÷ce√;µ,√tstl’um,√tstl’um=DIM=PROG,jumping DIM,
161,tsuli’tsetl’um’,cəliʔceƛ̓əm̓,c;li÷ce√;µ,√tstl’um,√tstl’um=DIM=PL=PROG,jumping DIM PL,
162,tsutl’tsetl’um,cəƛ̓ceƛ̓əm,c;√ce√;m,√tstl’um,√tstl’um=PL,jump PL,
163,tsi’tsetl’um’,ciʔceƛ̓əm̓,ci÷ce√;µ,√tstl’um,√tstl’um=DIM=PROG,jumping DIM,
164,tsuli’tsetl’um’,cəliʔceƛ̓əm̓,c;li÷ce√;µ,√tstl’um,√tstl’um=DIM=PL=PROG,jumping DIM PL,
165,tse’tstl’im’,ceʔcƛ̓im̓,ce÷c√iµ,√tstl’um,√tstl’um=DUR,hopscotch,
166,shtsi’tsetl’um’,šciʔceƛ̓əm̓,ßci÷ce√;µ,√tstl’um,shhw=√tstl’um=DIM,"skipping rope, an object to jump over",
167,tstl’umut,cƛ̓əmət,c√;m;t,√tstl’um,√tstl’um=t,jump for it,
168,tsetstl’im’stuhw,cecƛ̓im̓stəxʷ,cec√iµst;xø,√tstl’um,√tstl’um=stuhw=DUR,jump: making it jump,
169,tsutl’im’shun,cəƛ̓im̓šən,c;√iµß;n,√tstl’um,√tstl’um=shen=ASP,"jump around, constantly moving the feet",
170,tstl’ume’tst,cƛ̓əmeʔct,c√;me÷ct,√tstl’um,√tstl’um=me’ts=t,jump over it,See also tstl'umut.
171,tse’tstl’im’shun’,ceʔcƛ̓im̓šən̓,ce÷c√iµß;∫,√tstl’um,√tstl’um=shen=DUR,"jumping around, hopping around",
172,tsul’e’tsutl’im’shun’,cəl̓eʔcəƛ̓im̓šən̓,c;¬e÷c;√iµß;∫,√tstl’um,√tstl’um=shen=DIM=PL=DUR,hopping: small hopping steps,
173,tsset,cset,cset,√tsse,√tsse=t,tell (to do),
174,tsusut,cəsət,c;s;t,√tsse,√tsse=t,telling someone (to do something),
175,tsi’tsset,ciʔcset,ci÷cset,√tsse,√tsse=t=DUR,telling: keep on telling to do something,
176,tsi’tsusut,ciʔcəsət,ci÷c;s;t,√tsse,√tsse=t=DIM=PROG,telling someone (to do something) DIM,
177,tsi’tsset,ciʔcset,ci÷cset,√tsse,√tsse=t=DUR,"telling (to do something, keep on)",
178,tssetal’hw,csetal̓xʷ,cseta¬xø,√tsse,√tsse=t=al’hw,tell us (to do something),
179,tssetewut,csetewət,csetew;t,√tsse,√tsse=t=ewut,tell (to do something) PASS,
180,tssetum,csetəm,cset;m,√tsse,√tsse=t=m,tell (to do something) PASS,
181,tst,ct,ct,√tst,√tst,we," A subject particle, which follows the first word of the sentence or phrase."
182,tshwat,cxʷat,cxøat,√tshwa,√tshwa=t,"blow on with cupped hand, give artificial respiration to",
183,tsahwtum’,caxʷtəm̓,caxøt;µ,√tshwa,√tshwa=t=m,"blowing on with cupped hand, being given artificial respiration",
184,tshwutum,cxʷətəm,cxø;t;m,√tshwutum,√tshwutum,"swollen, bloated",
185,ts’aa’luts,c̓a:l̓əc,ça:¬;c,√ts’aa’luts,√ts’aa’luts,go over the mountain,
186,hwts’alum,xʷc̓aləm,xøçal;m,√ts’al,hw=√ts’al=m,tide turns,
187,yu ts’ul’as,yə c̓əl̓as,y; ç;¬as,√ts’al,yu √ts’al=as,turning around (looking back) while walking,
188,ts’ukw’ul’asstum’,c̓ək̓ʷəl̓asstəm̓,ç;˚ø;¬asst;µ,√ts’al,√ts’al=as=stuhw=m=PROG,"face someone in the opposite direction (from others), put a cap on backward",
189,ts’alusum,c̓aləsəm,çal;s;m,√ts’al,√ts’al=as=m,"look back, turn around, turn head",
190,ts’akw’ul’usum’,c̓ak̓ʷəl̓əsəm̓,ça˚ø;¬;s;µ,√ts’al,√ts’al=as=m=PROG,looking back,
191,ts’aluws,c̓aləws,çal;ws,√ts’al,√ts’al=iws,"change sides (paddling, chopping wood)",
192,ts’ultsus,c̓əlcəs,ç;lc;s,√ts’al,√ts’al=tses,"change hands (paddling, chopping wood)",
193,ts’akw’ul’tsus,c̓ak̓ʷəl̓cəs,ça˚ø;¬c;s,√ts’al,√ts’al=tses=PROG,"changing hands (paddling, chopping wood)",
194,sts’alha’,sc̓aɫaʔ,sça®a÷,√ts’alha’,s=√ts’alha’,leaf,
195,hwts’alha’um,xʷc̓aɫaʔəm,xøça®a÷;m,√ts’alha’,hw=√ts’alha’=m,River Bottom (place name),
196,ts’alhulhp,c̓aɫəɫp,ça®;®p,√ts’alha’,√ts’alha’=ulhp,maple tree,
197,shts’alhulhp,šc̓aɫəɫp,ßça®;®p,√ts’alha’,shhw=√ts’alha’=ulhp,Saanich: West Saanich,
198,sts’a’muqw,sc̓am̓əqʷ,sçaµ;qø,√ts’a’muqw,s=√ts’a’muqw,great-grandparent; great-grandchild,
199,sts’a’lum’uqw,sc̓al̓əm̓əqʷ,sça¬;µ;qø,√ts’a’muqw,s=√ts’a’muqw=PL,"great-grandparents, great-grandchildren",
200,shts’a’muqw,šc̓am̓əqʷ,ßçaµ;qø,√ts’a’muqw,s=hw=√ts’a’muqw,great grandparent-in-law,
201,sts’ats’muqw,sc̓acm̓əqʷ,sçacµ;qø,√ts’a’muqw,s=√ts’a’muqw=DIM,great-grandparent DIM,
202,shts’a’lum’uqw,šc̓al̓əm̓əqʷ,ßça¬;µ;qø,√ts’a’muqw,s=hw=√ts’a’muqw=PL,great grandparents-in-law,
203,ts’eemtuxun,c̓e:mtəx̌ən,çe:mt;≈;n,√ts’eemt,√ts’eemt=exun,bare rocky mountain (for ex Beacon Hill in Victoria)," The word may relate to the treeline, a bare area beside a treeline. This is not clear."
204,ts’eey’em’,c̓e:y̓em̓,çe:¥eµ,√ts’eey’,√ts’eey’=m,marry dead brother's wife/dead husband's brother,
205,ts’eey’u,c̓e:y̓ə,çe:¥;,√ts’eey’u,√ts’eey’u,wife or husband of deceased sibling (brother or sister),
206,ts’uy’ts’eey’u,c̓əy̓c̓e:y̓ə,ç;¥çe:¥;,√ts’eey’u,√ts’eey’u=PL,wives or husbands of deceased siblings,
207,ts’ultsus,c̓əlcəs,ç;lc;s,√ts’el,√ts’el=tses,switch to the other hand (for ex in the bonegame),
208,ts’ulqun,c̓əlqən,ç;lq;n,√ts’el,√ts’el=qen,turn back and go into the other room; go to another part of the longhouse,
209,ts’elhum’,c̓eɫəm̓,çe®;µ,√ts’elhum’,√ts’elhum’,hear,Possibly √ts'elh-m but see ts'elhum'ut.
210,ts’i’ts’elhum’,c̓iʔc̓eɫəm̓,çi÷çe®;µ,√ts’elhum’,√ts’elhum’=DUR,hearing,
211,ts’elhum’ut,c̓eɫəm̓ət,çe®;µ;t,√ts’elhum’,√ts’elhum’=t,hear,
212,ts’elhum’uthamu,c̓eɫəm̓əθamə,çe®;µ;ƒam;,√ts’elhum’,√ts’elhum’=t=samu,hear you,
213,sts’esht,sc̓ešt,sçeßt,√ts’esht,s=√ts’esht,stick,
214,sts’ushtutsus,sc̓əštəcəs,sç;ßt;c;s,√ts’esht,s=√ts’esht=tses,branch,
215,ts’ewut,c̓ewət,çew;t,√ts’ew,√ts’ew=t,help him/her/it,
216,ts’ets’uw’ut,c̓ec̓əw̓ət,çeç;Σ;t,√ts’ew,√ts’ew=t=PROG,helping him,
217,hwu ts’ets’uw’utum’,xʷə c̓ec̓əw̓ətəm̓,xø; çeç;Σ;t;µ,√ts’ew,hwu √ts’ew=t=m=PROG,helped PASS (come to be helped),
218,ts’uwnamut,c̓əwnamət,ç;wnam;t,√ts’ew,√ts’ew=nehw=amut,help you PASS,
219,ts’uwtun,c̓əwtən,ç;wt;n,√ts’ew,√ts’ew=ten,helper,
220,ts’ewulhtun,c̓ewəɫtən,çew;®t;n,√ts’ew,√ts’ew=lh=ten,help with,
221,sts’ewulhtun,sc̓ewəɫtən,sçew;®t;n,√ts’ew,s=√ts’ew=lh=ten,help (for ex money donated),
222,ts’e’wi’,c̓ew̓iʔ,çeΣi÷,√ts’e’wi’,√ts’e’wi’,dish; bowl,
223,ts’e’luwi’,c̓el̓əwiʔ,çe¬;wi÷,√ts’e’wi’,√ts’e’wi’=PL,dishes,
224,ts’ets’wi’,c̓ecw̓iʔ,çecΣi÷,√ts’e’wi’,√ts’e’wi’=DIM,dish DIM,
